Reference codes,DATE origin
A,ARGONNE NAT.LABS. 
ATcT A,Branko Ruscic; unpublished results from Active Thermochemical Tables v.1.25 using the Core (Argonne) Thermochemical Network v. 1.049 (May 2005). 
B,Ihsan Barin database. 
CODA,CODATA Tables. 
D,Delaware University. 
F,THERGAS calculations. 
IU,IUPAC data. 
J,JANAF tables. 
G(L),NASA Glen(former Lewis) Research Center. 
P,Thermodynamic Research Center (Formerly American Petroleum Institute). 
R or Rus or TPIS,Russian Tables (TSIV/TPIS); Gurvich. 
S,Louisiana State University (LSU). 
T,Technion-Israel Inst. Technology. 
TT,New HF298 adjusted on old polynomial.